CaseID,choice,choice_set,advisory_1,advisory_2,advisory_3,catch_per_trip_1,catch_per_trip_2,catch_per_trip_3,wqi_1,wqi_2,wqi_3,proportion_1,proportion_2,proportion_3,weed_1,weed_2,weed_3,cost_1,cost_2,cost_3
73,1,4,0.4,0.4,1.15,3,1,2,0.85,0.3,0.47,0.45,1,0.85,0.5,0.3,0.3,350,70,0
73,2,5,1.5,0.4,1.15,1,1,2,0.47,0.95,0.47,0.65,1,0.85,0.1,0.5,0.3,70,230,0
73,2,6,1.15,1.5,1.15,4,1,2,0.47,0.85,0.47,0.85,0.45,0.85,0.1,0.5,0.3,230,350,0
79,1,1,0.75,1.5,1.15,1,3,2,0.95,0.3,0.47,1,0.45,0.85,0.1,0.1,0.3,350,20,0
79,2,2,1.5,0.4,1.15,2,2,2,0.85,0.95,0.47,0.45,1,0.85,0.5,0.1,0.3,135,20,0
79,3,3,1.15,1.5,1.15,1,4,2,0.95,0.47,0.47,1,0.45,0.85,0.1,0.5,0.3,230,70,0
79,2,4,1.5,0.4,1.15,1,3,2,0.95,0.47,0.47,1,0.45,0.85,0.5,0.3,0.3,70,20,0
79,3,5,1.5,0.75,1.15,1,4,2,0.3,0.95,0.47,0.45,0.85,0.85,0.5,0.5,0.3,20,230,0
79,2,6,1.5,0.4,1.15,2,4,2,0.95,0.3,0.47,0.65,0.85,0.85,0.5,0.2,0.3,135,70,0
80,3,1,0.75,1.5,1.15,1,4,2,0.3,0.85,0.47,0.45,0.85,0.85,0.5,0.2,0.3,350,20,0
80,2,2,0.75,0.4,1.15,1,4,2,0.95,0.85,0.47,1,0.85,0.85,0.1,0.5,0.3,350,20,0
80,2,3,0.75,1.15,1.15,4,1,2,0.47,0.95,0.47,0.45,1,0.85,0.1,0.3,0.3,20,70,0
80,1,4,0.4,1.5,1.15,2,4,2,0.3,0.3,0.47,0.85,0.85,0.85,0.2,0.5,0.3,350,20,0
80,2,5,1.15,0.75,1.15,1,4,2,0.95,0.85,0.47,0.45,1,0.85,0.1,0.5,0.3,230,70,0
80,2,6,1.15,0.4,1.15,4,1,2,0.3,0.95,0.47,1,1,0.85,0.2,0.5,0.3,135,135,0
81,3,1,1.15,1.5,1.15,4,1,2,0.95,0.3,0.47,0.65,0.45,0.85,0.1,0.5,0.3,350,135,0
81,3,2,0.4,1.15,1.15,2,3,2,0.95,0.47,0.47,0.45,0.85,0.85,0.1,0.5,0.3,350,20,0
81,3,3,0.75,1.5,1.15,4,1,2,0.85,0.3,0.47,0.85,0.45,0.85,0.5,0.1,0.3,70,70,0
81,3,4,0.75,1.5,1.15,1,4,2,0.3,0.85,0.47,0.85,1,0.85,0.5,0.2,0.3,70,350,0
81,3,5,1.5,0.4,1.15,1,3,2,0.95,0.47,0.47,1,0.65,0.85,0.1,0.5,0.3,70,230,0
81,2,6,0.4,1.5,1.15,1,4,2,0.85,0.3,0.47,0.65,1,0.85,0.1,0.3,0.3,70,20,0
89,2,1,0.75,1.15,1.15,1,4,2,0.47,0.95,0.47,0.65,0.45,0.85,0.1,0.5,0.3,20,350,0
89,1,2,1.5,0.75,1.15,4,1,2,0.85,0.3,0.47,0.65,0.45,0.85,0.1,0.5,0.3,20,230,0
89,1,3,1.5,1.5,1.15,4,1,2,0.47,0.95,0.47,1,0.45,0.85,0.1,0.5,0.3,70,135,0
89,2,4,0.4,0.4,1.15,1,3,2,0.3,0.85,0.47,1,0.45,0.85,0.3,0.5,0.3,70,350,0
89,1,5,1.5,0.4,1.15,1,1,2,0.47,0.95,0.47,0.65,1,0.85,0.1,0.5,0.3,70,230,0
89,1,6,1.15,1.5,1.15,4,1,2,0.47,0.85,0.47,0.85,0.45,0.85,0.1,0.5,0.3,230,350,0
92,1,1,0.4,1.15,1.15,4,1,2,0.85,0.95,0.47,0.85,0.45,0.85,0.1,0.5,0.3,230,350,0
92,2,2,1.15,0.4,1.15,1,3,2,0.95,0.3,0.47,1,0.45,0.85,0.3,0.1,0.3,20,350,0
92,1,3,1.15,0.4,1.15,1,4,2,0.95,0.85,0.47,0.45,1,0.85,0.1,0.5,0.3,20,70,0
92,2,4,0.4,1.5,1.15,2,4,2,0.85,0.95,0.47,1,0.45,0.85,0.5,0.5,0.3,70,20,0
92,1,5,1.5,1.5,1.15,4,1,2,0.85,0.3,0.47,1,0.45,0.85,0.3,0.3,0.3,350,70,0
92,2,6,1.5,0.4,1.15,1,2,2,0.47,0.3,0.47,0.45,1,0.85,0.1,0.5,0.3,20,70,0
95,1,1,1.5,0.75,1.15,3,1,2,0.3,0.95,0.47,0.45,1,0.85,0.1,0.1,0.3,20,350,0
95,1,2,0.4,1.5,1.15,2,2,2,0.95,0.85,0.47,1,0.45,0.85,0.1,0.5,0.3,20,135,0
95,3,3,1.15,1.5,1.15,1,4,2,0.95,0.47,0.47,1,0.45,0.85,0.1,0.5,0.3,230,70,0
95,1,4,1.5,0.4,1.15,1,3,2,0.95,0.47,0.47,1,0.45,0.85,0.5,0.3,0.3,70,20,0
95,2,5,0.75,1.5,1.15,4,1,2,0.95,0.3,0.47,0.85,0.45,0.85,0.5,0.5,0.3,230,20,0
95,2,6,1.5,0.4,1.15,2,4,2,0.95,0.3,0.47,0.65,0.85,0.85,0.5,0.2,0.3,135,70,0
98,1,1,0.4,1.15,1.15,4,1,2,0.85,0.3,0.47,1,0.65,0.85,0.5,0.1,0.3,350,20,0
98,1,2,0.4,1.5,1.15,4,1,2,0.95,0.85,0.47,1,0.45,0.85,0.5,0.2,0.3,135,230,0
98,2,3,1.5,0.4,1.15,4,1,2,0.95,0.47,0.47,0.85,0.45,0.85,0.2,0.1,0.3,350,135,0
98,2,4,0.4,0.4,1.15,4,4,2,0.47,0.95,0.47,1,0.45,0.85,0.5,0.1,0.3,20,230,0
98,1,5,0.4,1.5,1.15,1,4,2,0.95,0.85,0.47,0.85,0.85,0.85,0.2,0.1,0.3,350,70,0
98,1,6,1.5,1.15,1.15,1,4,2,0.85,0.3,0.47,1,0.45,0.85,0.2,0.1,0.3,70,70,0
99,3,1,0.4,1.5,1.15,1,3,2,0.47,0.85,0.47,0.45,1,0.85,0.1,0.5,0.3,135,70,0
99,3,2,1.15,0.4,1.15,1,4,2,0.47,0.95,0.47,0.65,1,0.85,0.5,0.1,0.3,350,350,0
99,3,3,0.75,1.5,1.15,1,4,2,0.3,0.95,0.47,0.65,1,0.85,0.5,0.2,0.3,350,20,0
99,3,4,0.4,1.5,1.15,1,4,2,0.85,0.3,0.47,0.45,0.45,0.85,0.1,0.5,0.3,70,20,0
99,3,5,0.4,1.15,1.15,1,4,2,0.85,0.3,0.47,0.45,1,0.85,0.5,0.2,0.3,20,70,0
99,3,6,0.75,0.4,1.15,4,1,2,0.95,0.3,0.47,0.45,0.45,0.85,0.2,0.5,0.3,20,135,0
103,1,1,0.4,1.5,1.15,4,1,2,0.47,0.95,0.47,0.65,0.85,0.85,0.3,0.1,0.3,20,350,0
103,1,2,0.4,1.5,1.15,4,1,2,0.85,0.95,0.47,0.45,1,0.85,0.3,0.1,0.3,70,70,0
103,1,3,0.75,1.15,1.15,1,2,2,0.3,0.95,0.47,0.65,0.65,0.85,0.1,0.5,0.3,20,350,0
103,2,4,1.5,0.4,1.15,2,2,2,0.47,0.95,0.47,0.45,1,0.85,0.1,0.5,0.3,135,135,0
103,1,5,0.4,1.5,1.15,4,3,2,0.47,0.95,0.47,0.65,0.65,0.85,0.1,0.2,0.3,20,350,0
103,1,6,1.5,0.4,1.15,3,4,2,0.3,0.3,0.47,0.45,1,0.85,0.1,0.5,0.3,135,350,0
106,1,1,0.4,1.5,1.15,4,1,2,0.3,0.47,0.47,0.45,1,0.85,0.2,0.1,0.3,20,135,0
106,2,2,1.15,1.15,1.15,4,2,2,0.95,0.95,0.47,0.45,1,0.85,0.5,0.1,0.3,350,70,0
106,2,3,1.5,0.4,1.15,3,4,2,0.47,0.3,0.47,0.45,1,0.85,0.2,0.1,0.3,350,70,0
106,1,4,0.4,0.4,1.15,1,4,2,0.95,0.3,0.47,0.45,0.65,0.85,0.3,0.1,0.3,20,350,0
106,1,5,0.4,1.15,1.15,1,4,2,0.3,0.47,0.47,1,1,0.85,0.1,0.5,0.3,20,20,0
106,2,6,1.5,0.75,1.15,1,2,2,0.3,0.85,0.47,1,0.45,0.85,0.2,0.5,0.3,70,350,0
107,1,1,0.4,1.5,1.15,1,4,2,0.85,0.85,0.47,0.45,1,0.85,0.5,0.3,0.3,230,20,0
107,1,2,1.5,0.4,1.15,2,1,2,0.95,0.47,0.47,0.45,0.45,0.85,0.3,0.1,0.3,20,350,0
107,2,3,0.75,0.4,1.15,1,4,2,0.47,0.85,0.47,1,0.45,0.85,0.1,0.5,0.3,135,20,0
107,1,4,0.4,1.5,1.15,4,4,2,0.3,0.95,0.47,0.45,0.65,0.85,0.5,0.2,0.3,20,230,0
107,2,5,0.75,0.4,1.15,1,3,2,0.95,0.3,0.47,1,0.45,0.85,0.2,0.1,0.3,70,350,0
107,1,6,0.75,1.5,1.15,4,1,2,0.85,0.47,0.47,1,0.65,0.85,0.1,0.5,0.3,230,70,0
111,3,1,0.75,1.5,1.15,1,3,2,0.95,0.3,0.47,1,0.45,0.85,0.1,0.1,0.3,350,20,0
111,1,2,0.4,1.5,1.15,2,2,2,0.95,0.85,0.47,1,0.45,0.85,0.1,0.5,0.3,20,135,0
111,2,3,1.5,1.15,1.15,4,1,2,0.47,0.95,0.47,0.45,1,0.85,0.5,0.1,0.3,70,230,0
111,2,4,0.4,1.5,1.15,3,1,2,0.47,0.95,0.47,0.45,1,0.85,0.3,0.5,0.3,20,70,0
111,2,5,1.5,0.75,1.15,1,4,2,0.3,0.95,0.47,0.45,0.85,0.85,0.5,0.5,0.3,20,230,0
111,1,6,1.5,0.4,1.15,2,4,2,0.95,0.3,0.47,0.65,0.85,0.85,0.5,0.2,0.3,135,70,0
113,2,1,1.5,1.15,1.15,1,4,2,0.3,0.95,0.47,0.45,0.65,0.85,0.5,0.1,0.3,135,350,0
113,1,2,0.4,1.15,1.15,2,3,2,0.95,0.47,0.47,0.45,0.85,0.85,0.1,0.5,0.3,350,20,0
113,1,3,0.75,1.5,1.15,4,1,2,0.85,0.3,0.47,0.85,0.45,0.85,0.5,0.1,0.3,70,70,0
113,1,4,1.5,0.75,1.15,4,1,2,0.85,0.3,0.47,1,0.85,0.85,0.2,0.5,0.3,350,70,0
113,2,5,1.5,0.4,1.15,1,3,2,0.95,0.47,0.47,1,0.65,0.85,0.1,0.5,0.3,70,230,0
113,2,6,1.5,0.4,1.15,4,1,2,0.3,0.85,0.47,1,0.65,0.85,0.3,0.1,0.3,20,70,0
116,1,1,1.15,0.4,1.15,4,1,2,0.85,0.95,0.47,1,0.45,0.85,0.3,0.5,0.3,20,230,0
116,1,2,1.5,0.4,1.15,2,2,2,0.95,0.3,0.47,0.45,0.45,0.85,0.3,0.1,0.3,20,350,0
116,1,3,0.75,1.5,1.15,2,4,2,0.95,0.85,0.47,0.45,1,0.85,0.1,0.5,0.3,20,135,0
116,1,4,0.4,1.5,1.15,4,3,2,0.3,0.95,0.47,0.65,0.45,0.85,0.5,0.3,0.3,70,350,0
116,1,5,0.4,1.5,1.15,1,4,2,0.95,0.47,0.47,0.65,1,0.85,0.1,0.1,0.3,20,70,0
116,1,6,1.5,1.15,1.15,4,1,2,0.3,0.47,0.47,0.65,0.65,0.85,0.5,0.1,0.3,20,350,0
117,1,1,1.5,0.4,1.15,1,4,2,0.85,0.85,0.47,0.45,1,0.85,0.2,0.5,0.3,20,20,0
117,1,2,0.4,1.15,1.15,1,4,2,0.47,0.95,0.47,0.85,0.45,0.85,0.5,0.5,0.3,70,350,0
117,2,3,0.4,1.5,1.15,4,2,2,0.47,0.95,0.47,0.65,1,0.85,0.2,0.5,0.3,230,20,0
117,1,4,0.75,0.75,1.15,1,4,2,0.85,0.3,0.47,1,0.45,0.85,0.1,0.5,0.3,350,350,0
117,2,5,0.75,0.75,1.15,1,4,2,0.3,0.47,0.47,0.45,1,0.85,0.5,0.1,0.3,350,350,0
117,1,6,1.5,0.4,1.15,2,4,2,0.95,0.85,0.47,0.45,0.85,0.85,0.1,0.5,0.3,70,135,0
118,2,1,0.4,1.5,1.15,2,1,2,0.3,0.95,0.47,0.45,1,0.85,0.1,0.5,0.3,350,70,0
118,2,2,0.75,0.4,1.15,4,2,2,0.95,0.47,0.47,0.45,0.85,0.85,0.1,0.5,0.3,350,20,0
118,3,3,1.15,1.5,1.15,2,4,2,0.3,0.95,0.47,0.45,1,0.85,0.1,0.5,0.3,350,135,0
118,1,4,1.5,0.4,1.15,1,3,2,0.3,0.95,0.47,0.85,0.65,0.85,0.1,0.5,0.3,20,20,0
118,2,5,1.15,1.5,1.15,1,3,2,0.95,0.3,0.47,0.45,1,0.85,0.5,0.3,0.3,350,70,0
118,1,6,0.4,1.5,1.15,2,3,2,0.95,0.85,0.47,0.45,1,0.85,0.5,0.3,0.3,20,350,0
121,2,1,1.15,0.75,1.15,4,1,2,0.95,0.47,0.47,0.45,0.65,0.85,0.5,0.1,0.3,350,20,0
121,1,2,1.5,0.75,1.15,4,1,2,0.85,0.3,0.47,0.65,0.45,0.85,0.1,0.5,0.3,20,230,0
121,1,3,1.5,1.5,1.15,1,4,2,0.95,0.47,0.47,0.45,1,0.85,0.5,0.1,0.3,135,70,0
121,2,4,0.4,0.4,1.15,1,3,2,0.3,0.85,0.47,1,0.45,0.85,0.3,0.5,0.3,70,350,0
121,2,5,0.4,1.5,1.15,1,1,2,0.95,0.47,0.47,1,0.65,0.85,0.5,0.1,0.3,230,70,0
121,2,6,1.5,1.15,1.15,1,4,2,0.85,0.47,0.47,0.45,0.85,0.85,0.5,0.1,0.3,350,230,0
123,2,1,0.4,1.5,1.15,1,4,2,0.85,0.85,0.47,0.45,1,0.85,0.5,0.3,0.3,230,20,0
123,2,2,0.4,1.5,1.15,1,2,2,0.47,0.95,0.47,0.45,0.45,0.85,0.1,0.3,0.3,350,20,0
123,2,3,0.75,0.4,1.15,1,4,2,0.47,0.85,0.47,1,0.45,0.85,0.1,0.5,0.3,135,20,0
123,2,4,1.5,0.4,1.15,4,4,2,0.95,0.3,0.47,0.65,0.45,0.85,0.2,0.5,0.3,230,20,0
123,1,5,0.75,0.4,1.15,1,3,2,0.95,0.3,0.47,1,0.45,0.85,0.2,0.1,0.3,70,350,0
123,2,6,0.75,1.5,1.15,4,1,2,0.85,0.47,0.47,1,0.65,0.85,0.1,0.5,0.3,230,70,0
126,3,1,0.4,1.5,1.15,1,2,2,0.3,0.95,0.47,0.65,0.45,0.85,0.5,0.1,0.3,70,350,0
126,3,2,0.75,0.75,1.15,3,1,2,0.95,0.47,0.47,0.45,1,0.85,0.5,0.1,0.3,350,70,0
126,1,3,1.5,1.5,1.15,4,1,2,0.3,0.95,0.47,0.65,0.45,0.85,0.1,0.3,0.3,20,350,0
126,2,4,1.15,0.75,1.15,3,1,2,0.47,0.3,0.47,0.45,1,0.85,0.5,0.1,0.3,350,20,0
126,3,5,1.5,0.4,1.15,4,2,2,0.3,0.3,0.47,0.45,0.85,0.85,0.2,0.2,0.3,20,350,0
126,3,6,1.5,0.75,1.15,4,1,2,0.85,0.47,0.47,1,0.85,0.85,0.1,0.5,0.3,350,135,0
127,1,1,0.75,1.5,1.15,1,3,2,0.95,0.3,0.47,1,0.45,0.85,0.1,0.1,0.3,350,20,0
127,2,2,1.5,0.4,1.15,2,2,2,0.85,0.95,0.47,0.45,1,0.85,0.5,0.1,0.3,135,20,0
127,3,3,1.15,1.5,1.15,1,4,2,0.95,0.47,0.47,1,0.45,0.85,0.1,0.5,0.3,230,70,0
127,2,4,1.5,0.4,1.15,1,3,2,0.95,0.47,0.47,1,0.45,0.85,0.5,0.3,0.3,70,20,0
127,2,5,1.5,0.75,1.15,1,4,2,0.3,0.95,0.47,0.45,0.85,0.85,0.5,0.5,0.3,20,230,0
127,2,6,1.5,0.4,1.15,2,4,2,0.95,0.3,0.47,0.65,0.85,0.85,0.5,0.2,0.3,135,70,0
132,1,1,1.15,0.4,1.15,4,1,2,0.85,0.95,0.47,1,0.45,0.85,0.3,0.5,0.3,20,230,0
132,1,2,1.5,0.4,1.15,2,2,2,0.95,0.3,0.47,0.45,0.45,0.85,0.3,0.1,0.3,20,350,0
132,1,3,0.75,1.5,1.15,2,4,2,0.95,0.85,0.47,0.45,1,0.85,0.1,0.5,0.3,20,135,0
132,2,4,1.5,0.4,1.15,3,4,2,0.95,0.3,0.47,0.45,0.65,0.85,0.3,0.5,0.3,350,70,0
132,2,5,1.5,0.4,1.15,4,1,2,0.47,0.95,0.47,1,0.65,0.85,0.1,0.1,0.3,70,20,0
132,1,6,1.5,1.15,1.15,4,1,2,0.3,0.47,0.47,0.65,0.65,0.85,0.5,0.1,0.3,20,350,0
137,2,1,1.15,0.75,1.15,4,1,2,0.95,0.47,0.47,0.45,0.65,0.85,0.5,0.1,0.3,350,20,0
137,2,2,0.75,1.5,1.15,1,4,2,0.3,0.85,0.47,0.45,0.65,0.85,0.5,0.1,0.3,230,20,0
137,2,3,1.5,1.5,1.15,1,4,2,0.95,0.47,0.47,0.45,1,0.85,0.5,0.1,0.3,135,70,0
137,2,4,0.4,0.4,1.15,1,3,2,0.3,0.85,0.47,1,0.45,0.85,0.3,0.5,0.3,70,350,0
137,2,5,1.5,0.4,1.15,1,1,2,0.47,0.95,0.47,0.65,1,0.85,0.1,0.5,0.3,70,230,0
137,2,6,1.5,1.15,1.15,1,4,2,0.85,0.47,0.47,0.45,0.85,0.85,0.5,0.1,0.3,350,230,0
140,2,1,1.15,0.4,1.15,1,4,2,0.95,0.85,0.47,0.45,0.85,0.85,0.5,0.1,0.3,350,230,0
140,2,2,0.4,1.15,1.15,3,1,2,0.3,0.95,0.47,0.45,1,0.85,0.1,0.3,0.3,350,20,0
140,2,3,0.4,1.15,1.15,4,1,2,0.85,0.95,0.47,1,0.45,0.85,0.5,0.1,0.3,70,20,0
140,2,4,0.4,1.5,1.15,2,4,2,0.85,0.95,0.47,1,0.45,0.85,0.5,0.5,0.3,70,20,0
140,3,5,1.5,1.5,1.15,4,1,2,0.85,0.3,0.47,1,0.45,0.85,0.3,0.3,0.3,350,70,0
140,3,6,1.5,0.4,1.15,1,2,2,0.47,0.3,0.47,0.45,1,0.85,0.1,0.5,0.3,20,70,0
141,2,1,1.5,0.4,1.15,3,1,2,0.47,0.95,0.47,0.45,1,0.85,0.2,0.5,0.3,350,230,0
141,3,2,0.4,1.5,1.15,1,4,2,0.85,0.47,0.47,0.45,0.65,0.85,0.2,0.5,0.3,230,20,0
141,2,3,0.4,1.15,1.15,4,1,2,0.85,0.3,0.47,0.85,0.65,0.85,0.1,0.1,0.3,350,70,0
141,3,4,1.5,0.4,1.15,4,1,2,0.95,0.95,0.47,0.45,0.85,0.85,0.3,0.2,0.3,230,350,0
141,3,5,0.4,1.15,1.15,1,4,2,0.47,0.95,0.47,0.45,0.45,0.85,0.3,0.1,0.3,350,70,0
141,3,6,0.75,0.4,1.15,4,2,2,0.95,0.3,0.47,0.45,0.85,0.85,0.5,0.2,0.3,20,135,0
143,1,1,0.75,1.5,1.15,1,3,2,0.95,0.3,0.47,1,0.45,0.85,0.1,0.1,0.3,350,20,0
143,1,2,1.5,0.4,1.15,2,2,2,0.85,0.95,0.47,0.45,1,0.85,0.5,0.1,0.3,135,20,0
143,2,3,1.15,1.5,1.15,1,4,2,0.95,0.47,0.47,1,0.45,0.85,0.1,0.5,0.3,230,70,0
143,2,4,0.4,1.5,1.15,3,1,2,0.47,0.95,0.47,0.45,1,0.85,0.3,0.5,0.3,20,70,0
143,2,5,1.5,0.75,1.15,1,4,2,0.3,0.95,0.47,0.45,0.85,0.85,0.5,0.5,0.3,20,230,0
143,1,6,1.5,0.4,1.15,2,4,2,0.95,0.3,0.47,0.65,0.85,0.85,0.5,0.2,0.3,135,70,0
153,1,1,0.75,1.15,1.15,1,4,2,0.47,0.95,0.47,0.65,0.45,0.85,0.1,0.5,0.3,20,350,0
153,2,2,0.75,1.5,1.15,1,4,2,0.3,0.85,0.47,0.45,0.65,0.85,0.5,0.1,0.3,230,20,0
153,2,3,1.5,1.5,1.15,4,1,2,0.47,0.95,0.47,1,0.45,0.85,0.1,0.5,0.3,70,135,0
153,2,4,0.4,0.4,1.15,1,3,2,0.3,0.85,0.47,1,0.45,0.85,0.3,0.5,0.3,70,350,0
153,1,5,1.5,0.4,1.15,1,1,2,0.47,0.95,0.47,0.65,1,0.85,0.1,0.5,0.3,70,230,0
153,1,6,1.5,1.15,1.15,1,4,2,0.85,0.47,0.47,0.45,0.85,0.85,0.5,0.1,0.3,350,230,0
154,2,1,0.4,1.5,1.15,4,1,2,0.3,0.47,0.47,0.45,1,0.85,0.2,0.1,0.3,20,135,0
154,1,2,1.15,1.15,1.15,2,4,2,0.95,0.95,0.47,1,0.45,0.85,0.1,0.5,0.3,70,350,0
154,3,3,0.4,1.5,1.15,4,3,2,0.3,0.47,0.47,1,0.45,0.85,0.1,0.2,0.3,70,350,0
154,2,4,0.4,0.4,1.15,4,1,2,0.3,0.95,0.47,0.65,0.45,0.85,0.1,0.3,0.3,350,20,0
154,2,5,1.15,0.4,1.15,4,1,2,0.47,0.3,0.47,1,1,0.85,0.5,0.1,0.3,20,20,0
154,3,6,0.75,1.5,1.15,2,1,2,0.85,0.3,0.47,0.45,1,0.85,0.5,0.2,0.3,350,70,0
155,3,1,1.5,0.4,1.15,4,1,2,0.85,0.85,0.47,1,0.45,0.85,0.3,0.5,0.3,20,230,0
155,3,2,0.4,1.5,1.15,1,2,2,0.47,0.95,0.47,0.45,0.45,0.85,0.1,0.3,0.3,350,20,0
155,3,3,0.75,0.4,1.15,1,4,2,0.47,0.85,0.47,1,0.45,0.85,0.1,0.5,0.3,135,20,0
155,3,4,0.4,1.5,1.15,4,4,2,0.3,0.95,0.47,0.45,0.65,0.85,0.5,0.2,0.3,20,230,0
155,3,5,0.4,0.75,1.15,3,1,2,0.3,0.95,0.47,0.45,1,0.85,0.1,0.2,0.3,350,70,0
155,3,6,0.75,1.5,1.15,4,1,2,0.85,0.47,0.47,1,0.65,0.85,0.1,0.5,0.3,230,70,0
158,2,1,0.4,1.5,1.15,1,2,2,0.3,0.95,0.47,0.65,0.45,0.85,0.5,0.1,0.3,70,350,0
158,1,2,0.75,0.75,1.15,3,1,2,0.95,0.47,0.47,0.45,1,0.85,0.5,0.1,0.3,350,70,0
158,1,3,1.5,1.5,1.15,1,4,2,0.95,0.3,0.47,0.45,0.65,0.85,0.3,0.1,0.3,350,20,0
158,2,4,0.75,1.15,1.15,1,3,2,0.3,0.47,0.47,1,0.45,0.85,0.1,0.5,0.3,20,350,0
158,1,5,1.5,0.4,1.15,4,2,2,0.3,0.3,0.47,0.45,0.85,0.85,0.2,0.2,0.3,20,350,0
158,2,6,0.75,1.5,1.15,1,4,2,0.47,0.85,0.47,0.85,1,0.85,0.5,0.1,0.3,135,350,0
168,1,1,1.5,0.4,1.15,1,4,2,0.95,0.3,0.47,0.85,0.45,0.85,0.1,0.5,0.3,230,135,0
168,1,2,0.4,1.5,1.15,4,1,2,0.47,0.3,0.47,0.85,0.45,0.85,0.1,0.1,0.3,350,20,0
